t_ms,soma_v_mV
0.000000000000000000e+00,-6.800000000000000000e+01
2.000000000000000042e-02,-6.799373985873627646e+01
4.000000000000000083e-02,-6.798712015564179012e+01
6.000000000000000472e-02,-6.798052988439442856e+01
8.000000000000000167e-02,-6.797412043510344404e+01
9.999999999999999167e-02,-6.796795715644631741e+01
1.199999999999999817e-01,-6.796206683300866302e+01
1.399999999999999856e-01,-6.795645708953918529e+01
1.600000000000000033e-01,-6.795112548339098169e+01
1.800000000000000211e-01,-6.794606415511289299e+01
2.000000000000000389e-01,-6.794126236208461478e+01
2.200000000000000566e-01,-6.793670792473849929e+01
2.400000000000000744e-01,-6.793238807979213334e+01
2.600000000000000644e-01,-6.792828999375794297e+01
2.800000000000000822e-01,-6.792440107373204228e+01
3.000000000000000999e-01,-6.792070915318697644e+01
3.200000000000001177e-01,-6.791720259874730914e+01
3.400000000000001354e-01,-6.791387036615225270e+01
3.600000000000001532e-01,-6.791070202324306138e+01
3.800000000000001710e-01,-6.790768775153880199e+01
4.000000000000001887e-01,-6.790481833404261636e+01
4.200000000000002065e-01,-6.790208513439911542e+01
4.400000000000002243e-01,-6.789948007086442772e+01
4.600000000000002420e-01,-6.789699558743782859e+01
4.800000000000002598e-01,-6.789462462374659424e+01
5.000000000000002220e-01,-6.789236058475536595e+01
5.200000000000002398e-01,-6.789019731100984245e+01
5.400000000000002576e-01,-6.788812904987322838e+01
5.600000000000002753e-01,-6.788615042803870381e+01
5.800000000000002931e-01,-6.788425642547861116e+01
6.000000000000003109e-01,-6.788244235090672873e+01
6.200000000000003286e-01,-6.788070381877165005e+01
6.400000000000003464e-01,-6.787903672776036501e+01
6.600000000000003642e-01,-6.787743724076499063e+01
6.800000000000003819e-01,-6.787590176624975413e+01
7.000000000000003997e-01,-6.787442694094551143e+01
7.200000000000004174e-01,-6.787300961379438036e+01
7.400000000000004352e-01,-6.787164683106570351e+01
7.600000000000004530e-01,-6.787033582256515274e+01
7.800000000000004707e-01,-6.786907398886106080e+01
8.000000000000004885e-01,-6.786785888945514955e+01
8.200000000000005063e-01,-6.786668823182863264e+01
8.400000000000005240e-01,-6.786555986129853579e+01
8.600000000000005418e-01,-6.786447175162322765e+01
8.800000000000005596e-01,-6.786342199630033178e+01
9.000000000000005773e-01,-6.786240880050415569e+01
9.200000000000005951e-01,-6.786143047361370861e+01
9.400000000000006128e-01,-6.786048542228590463e+01
9.600000000000006306e-01,-6.785957214403207161e+01
9.800000000000006484e-01,-6.785868922125919767e+01
1.000000000000000666e+00,-6.785783531574021765e+01
1.020000000000000684e+00,-6.785700916348039868e+01
1.040000000000000702e+00,-6.785620956994965525e+01
1.060000000000000719e+00,-6.785543540565281262e+01
1.080000000000000737e+00,-6.785468560201223909e+01
1.100000000000000755e+00,-6.785395914753902957e+01
1.120000000000000773e+00,-6.785325508427118280e+01
1.140000000000000790e+00,-6.785257250445860677e+01
1.160000000000000808e+00,-6.785191054747660644e+01
1.180000000000000826e+00,-6.785126839695081458e+01
1.200000000000000844e+00,-6.785064527807791990e+01
1.220000000000000862e+00,-6.785004045512766879e+01
1.240000000000000879e+00,-6.784945322911295307e+01
1.260000000000000897e+00,-6.784888293561560602e+01
1.280000000000000915e+00,-6.784832894275670867e+01
1.300000000000000933e+00,-6.784779064930084758e+01
1.320000000000000950e+00,-6.784726748288477438e+01
1.340000000000000968e+00,-6.784675889836154283e+01
1.360000000000000986e+00,-6.784626437625198037e+01
1.380000000000001004e+00,-6.784578342129570672e+01
1.400000000000001021e+00,-6.784531556109473627e+01
1.420000000000001039e+00,-6.784486034484332606e+01
1.440000000000001057e+00,-6.784441734213788777e+01
1.460000000000001075e+00,-6.784398614186173404e+01
1.480000000000001092e+00,-6.784356635113928746e+01
1.500000000000001110e+00,-6.784315759435506266e+01
1.520000000000001128e+00,-6.784275951223297341e+01
1.540000000000001146e+00,-6.784237176097182953e+01
1.560000000000001164e+00,-6.784199401143328600e+01
1.580000000000001181e+00,-6.784162594837866322e+01
1.600000000000001199e+00,-6.784126726975142674e+01
1.620000000000001217e+00,-6.784091768600229955e+01
1.640000000000001235e+00,-6.784057691945406532e+01
1.660000000000001252e+00,-6.784024470370354720e+01
1.680000000000001270e+00,-6.783992078305841744e+01
1.700000000000001288e+00,-6.783960491200643617e+01
1.720000000000001306e+00,-6.783929685471530036e+01
1.740000000000001323e+00,-6.783899638456101400e+01
1.760000000000001341e+00,-6.783870328368298885e+01
1.780000000000001359e+00,-6.783841734256419898e+01
1.800000000000001377e+00,-6.783813835963482575e+01
1.820000000000001394e+00,-6.783786614089787292e+01
1.840000000000001412e+00,-6.783760049957540161e+01
1.860000000000001430e+00,-6.783734125577414886e+01
1.880000000000001448e+00,-6.783708823616925088e+01
1.900000000000001465e+00,-6.783684127370499084e+01
1.920000000000001483e+00,-6.783660020731159079e+01
1.940000000000001501e+00,-6.783636488163701017e+01
1.960000000000001519e+00,-6.783613514679275625e+01
1.980000000000001537e+00,-6.783591085811301014e+01
