spine_x,spine_y,spine_z,grid_x,grid_y,grid_z,dx,dy,dz,distance_um
2.020400037765502788e+01,1.112599945068359375e+01,3.080099868774414062e+01,1.977608795166014488e+01,1.034699916839599609e+01,3.067480120658874299e+01,4.279124259948829945e-01,7.790002822875976562e-01,1.261974811553976394e-01,8.977061258423882917e-01
2.042600030899047781e+01,1.112599945068359375e+01,3.080099868774414062e+01,1.977608795166014488e+01,1.034699916839599609e+01,3.067480120658874299e+01,6.499123573303329238e-01,7.790002822875976562e-01,1.261974811553976394e-01,1.022327401699081095e+00
2.064800024032592773e+01,1.112599945068359375e+01,3.080099868774414062e+01,1.977608795166014488e+01,1.034699916839599609e+01,3.067480120658874299e+01,8.719122886657828531e-01,7.790002822875976562e-01,1.261974811553976394e-01,1.176009474103218100e+00
2.087000017166137766e+01,1.112599945068359375e+01,3.080099868774414062e+01,2.177608795166014488e+01,1.034699916839599609e+01,3.067480120658874299e+01,-9.060877799987672176e-01,7.790002822875976562e-01,1.261974811553976394e-01,1.201566606192606468e+00
2.109200010299682759e+01,1.112599945068359375e+01,3.080099868774414062e+01,2.177608795166014488e+01,1.034699916839599609e+01,3.067480120658874299e+01,-6.840878486633172884e-01,7.790002822875976562e-01,1.261974811553976394e-01,1.044386627998908024e+00
2.131400003433227397e+01,1.112599945068359375e+01,3.080099868774414062e+01,2.177608795166014488e+01,1.034699916839599609e+01,3.067480120658874299e+01,-4.620879173278709118e-01,7.790002822875976562e-01,1.261974811553976394e-01,9.144902882997353322e-01
2.153599996566772390e+01,1.112599945068359375e+01,3.080099868774414062e+01,2.177608795166014488e+01,1.034699916839599609e+01,3.067480120658874299e+01,-2.400879859924209825e-01,7.790002822875976562e-01,1.261974811553976394e-01,8.248693745509168007e-01
2.175799989700317383e+01,1.112599945068359375e+01,3.080099868774414062e+01,2.177608795166014488e+01,1.034699916839599609e+01,3.067480120658874299e+01,-1.808805465697105319e-02,7.790002822875976562e-01,1.261974811553976394e-01,7.893633015129328800e-01
2.197999982833862376e+01,1.112599945068359375e+01,3.080099868774414062e+01,2.177608795166014488e+01,1.034699916839599609e+01,3.067480120658874299e+01,2.039118766784788761e-01,7.790002822875976562e-01,1.261974811553976394e-01,8.150750256906801328e-01
2.220199975967407369e+01,1.112599945068359375e+01,3.080099868774414062e+01,2.177608795166014488e+01,1.034699916839599609e+01,3.067480120658874299e+01,4.259118080139288054e-01,7.790002822875976562e-01,1.261974811553976394e-01,8.967542095021453497e-01
2.250759973526000834e+01,1.104259943962097168e+01,3.063419866561889648e+01,2.177608795166014488e+01,1.034699916839599609e+01,3.067480120658874299e+01,7.315117835998634632e-01,6.956002712249755859e-01,-4.060254096984650118e-02,1.010256300750913772e+00
2.289679975509643484e+01,1.087579941749572754e+01,3.030059862136840820e+01,2.377608795166014488e+01,1.034699916839599609e+01,3.067480120658874299e+01,-8.792881965637100450e-01,5.288002490997314453e-01,-3.742025852203347824e-01,1.092156129337642723e+00
2.328599977493286133e+01,1.070899939537048340e+01,2.996699857711791992e+01,2.377608795166014488e+01,1.034699916839599609e+01,3.067480120658874299e+01,-4.900881767272835532e-01,3.620002269744873047e-01,-7.078026294708230637e-01,9.339245941633964598e-01
2.367519979476928782e+01,1.054219937324523926e+01,2.963339853286743164e+01,2.377608795166014488e+01,1.034699916839599609e+01,2.867480120658874299e+01,-1.008881568908570614e-01,1.952002048492431641e-01,9.585973262786886551e-01,9.834583743721293514e-01
2.406439981460571431e+01,1.037539935111999512e+01,2.929979848861694336e+01,2.377608795166014488e+01,1.034699916839599609e+01,2.867480120658874299e+01,2.883118629455694304e-01,2.840018272399902344e-02,6.249972820282003738e-01,6.888772773408476935e-01
2.445359983444214080e+01,1.020859932899475098e+01,2.896619844436645508e+01,2.377608795166014488e+01,1.034699916839599609e+01,2.867480120658874299e+01,6.775118827819959222e-01,-1.383998394012451172e-01,2.913972377777120926e-01,7.503927085477150039e-01
2.484279985427856374e+01,1.004179930686950684e+01,2.863259840011596680e+01,2.577608795166014488e+01,1.034699916839599609e+01,2.867480120658874299e+01,-9.332880973815811387e-01,-3.051998615264892578e-01,-4.220280647277618868e-02,9.828299471750433502e-01
2.523199987411499023e+01,9.874999284744262695e+00,2.829899835586547852e+01,2.577608795166014488e+01,1.034699916839599609e+01,2.867480120658874299e+01,-5.440880775451546469e-01,-4.719998836517333984e-01,-3.758028507232644699e-01,8.124306179027007691e-01
2.562119989395141673e+01,9.708199262619018555e+00,2.796539831161499023e+01,2.577608795166014488e+01,1.034699916839599609e+01,2.867480120658874299e+01,-1.548880577087281551e-01,-6.387999057769775391e-01,-7.094028949737527512e-01,9.671132805615890726e-01
2.601039991378784322e+01,9.541399240493774414e+00,2.763179826736450195e+01,2.577608795166014488e+01,1.034699916839599609e+01,2.667480120658874299e+01,2.343119621276983366e-01,-8.055999279022216797e-01,9.569970607757589676e-01,1.272688773332128598e+00
2.626254987716674805e+01,9.457999229431152344e+00,2.694719820022583079e+01,2.577608795166014488e+01,1.034699916839599609e+01,2.667480120658874299e+01,4.864619255066031656e-01,-8.889999389648437500e-01,2.723969936370878031e-01,1.049364673785815771e+00
2.637764978408813477e+01,9.457999229431152344e+00,2.591159811019897319e+01,2.577608795166014488e+01,1.034699916839599609e+01,2.667480120658874299e+01,6.015618324279898843e-01,-8.889999389648437500e-01,-7.632030963897697973e-01,1.317071181088003806e+00
2.649274969100952148e+01,9.457999229431152344e+00,2.487599802017211914e+01,2.577608795166014488e+01,1.034699916839599609e+01,2.467480120658874299e+01,7.166617393493766031e-01,-8.889999389648437500e-01,2.011968135833761551e-01,1.159484841609787154e+00
2.660784959793090820e+01,9.457999229431152344e+00,2.384039793014526509e+01,2.577608795166014488e+01,1.034699916839599609e+01,2.467480120658874299e+01,8.317616462707633218e-01,-8.889999389648437500e-01,-8.344032764434778926e-01,1.475932639189931894e+00
2.672294950485229492e+01,9.457999229431152344e+00,2.280479784011840749e+01,2.577608795166014488e+01,1.034699916839599609e+01,2.267480120658874299e+01,9.468615531921500406e-01,-8.889999389648437500e-01,1.299966335296645070e-01,1.305284190175454606e+00
2.683804941177368164e+01,9.457999229431152344e+00,2.176919775009154989e+01,2.777608795166014488e+01,1.034699916839599609e+01,2.267480120658874299e+01,-9.380385398864632407e-01,-8.889999389648437500e-01,-9.056034564971930934e-01,1.578085806986263773e+00
2.695314931869506836e+01,9.457999229431152344e+00,2.073359766006469584e+01,2.777608795166014488e+01,1.034699916839599609e+01,2.067480120658874299e+01,-8.229386329650765219e-01,-8.889999389648437500e-01,5.879645347595285898e-02,1.212850323843496669e+00
2.706824922561645508e+01,9.457999229431152344e+00,1.969799757003783824e+01,2.777608795166014488e+01,1.034699916839599609e+01,2.067480120658874299e+01,-7.078387260436898032e-01,-8.889999389648437500e-01,-9.768036365509047414e-01,1.498499882531100447e+00
2.718334913253784180e+01,9.457999229431152344e+00,1.866239748001098775e+01,2.777608795166014488e+01,1.034699916839599609e+01,1.867480120658874299e+01,-5.927388191223030844e-01,-8.889999389648437500e-01,-1.240372657775523635e-02,1.068556995020393918e+00
2.729844903945922852e+01,9.457999229431152344e+00,1.762679738998412660e+01,2.777608795166014488e+01,1.034699916839599609e+01,1.667480120658874299e+01,-4.776389122009163657e-01,-8.889999389648437500e-01,9.519961833953836106e-01,1.387355958334899553e+00
2.727264900207519460e+01,9.457999229431152344e+00,1.697009735107421946e+01,2.777608795166014488e+01,1.034699916839599609e+01,1.667480120658874299e+01,-5.034389495849502794e-01,-8.889999389648437500e-01,2.952961444854764750e-01,1.063471429041082272e+00
2.710594902038574361e+01,9.457999229431152344e+00,1.669229736328124858e+01,2.777608795166014488e+01,1.034699916839599609e+01,1.667480120658874299e+01,-6.701389312744012727e-01,-8.889999389648437500e-01,1.749615669250559336e-02,1.113424085507449979e+00
2.693924903869628906e+01,9.457999229431152344e+00,1.641449737548828125e+01,2.777608795166014488e+01,1.034699916839599609e+01,1.667480120658874299e+01,-8.368389129638558188e-01,-8.889999389648437500e-01,-2.603038311004617356e-01,1.248350248213858205e+00
2.677254905700683452e+01,9.457999229431152344e+00,1.613669738769531392e+01,2.577608795166014488e+01,1.034699916839599609e+01,1.667480120658874299e+01,9.964611053466896351e-01,-8.889999389648437500e-01,-5.381038188934290645e-01,1.439726135713294219e+00
2.660584907531738352e+01,9.457999229431152344e+00,1.585889739990234304e+01,2.577608795166014488e+01,1.034699916839599609e+01,1.667480120658874299e+01,8.297611236572386417e-01,-8.889999389648437500e-01,-8.159038066863999461e-01,1.464419146138760786e+00
2.643914909362792898e+01,9.457999229431152344e+00,1.558109741210937393e+01,2.577608795166014488e+01,1.034699916839599609e+01,1.467480120658874299e+01,6.630611419677840956e-01,-8.889999389648437500e-01,9.062962055206309486e-01,1.432251298344048074e+00
2.627244911193847798e+01,9.457999229431152344e+00,1.530329742431640661e+01,2.577608795166014488e+01,1.034699916839599609e+01,1.467480120658874299e+01,4.963611602783331023e-01,-8.889999389648437500e-01,6.284962177276636197e-01,1.196537834174217663e+00
2.610574913024902344e+01,9.457999229431152344e+00,1.502549743652343750e+01,2.577608795166014488e+01,1.034699916839599609e+01,1.467480120658874299e+01,3.296611785888785562e-01,-8.889999389648437500e-01,3.506962299346945144e-01,1.010932851300477164e+00
2.593904914855956889e+01,9.457999229431152344e+00,1.474769744873046839e+01,2.577608795166014488e+01,1.034699916839599609e+01,1.467480120658874299e+01,1.629611968994240101e-01,-8.889999389648437500e-01,7.289624214172540917e-02,9.067475422038780986e-01
2.577234916687011790e+01,9.457999229431152344e+00,1.446989746093749929e+01,2.577608795166014488e+01,1.034699916839599609e+01,1.467480120658874299e+01,-3.738784790026983273e-03,-8.889999389648437500e-01,-2.049037456512436961e-01,9.123159622483384412e-01
2.556739921569824148e+01,9.457999229431152344e+00,1.423979744911193812e+01,2.577608795166014488e+01,1.034699916839599609e+01,1.467480120658874299e+01,-2.086887359619034044e-01,-8.889999389648437500e-01,-4.350037574768048643e-01,1.011484131865553193e+00
2.532419929504394673e+01,9.457999229431152344e+00,1.405739741325378489e+01,2.577608795166014488e+01,1.034699916839599609e+01,1.467480120658874299e+01,-4.518886566161981477e-01,-8.889999389648437500e-01,-6.174037933349580953e-01,1.172907367818227797e+00
2.508099937438964844e+01,9.457999229431152344e+00,1.387499737739562988e+01,2.577608795166014488e+01,1.034699916839599609e+01,1.467480120658874299e+01,-6.950885772704964438e-01,-8.889999389648437500e-01,-7.998038291931131027e-01,1.383168531641529642e+00
2.483779945373535014e+01,9.457999229431152344e+00,1.369259734153747488e+01,2.577608795166014488e+01,1.034699916839599609e+01,1.467480120658874299e+01,-9.382884979247947399e-01,-8.889999389648437500e-01,-9.822038650512681102e-01,1.623400945342558632e+00
2.459459953308105540e+01,9.457999229431152344e+00,1.351019730567932164e+01,2.377608795166014488e+01,1.034699916839599609e+01,1.267480120658874299e+01,8.185115814209105167e-01,-8.889999389648437500e-01,8.353960990905786588e-01,1.469070707207591031e+00
2.435139961242675710e+01,9.457999229431152344e+00,1.332779726982116664e+01,2.377608795166014488e+01,1.034699916839599609e+01,1.267480120658874299e+01,5.753116607666122206e-01,-8.889999389648437500e-01,6.529960632324236514e-01,1.244069233238478844e+00
